"Infiltration","Cultivar","Seed_treatment","Tillage_type","Numb_weeding","Numb_postHarv_herb","Numb_rastreo","Numb_preSow_herb","Numb_fertilizations","Numb_applic_foliar","Numb_applic_biofer","Num_postSow_herb","Numb_insecticides","Total_nitrogen","Total_phosphorus","Total_potassium","Clay","Silt","OM","CEC","Basis_saturation","Avg_min_temp","Avg_diurn_range","Acc_sol_energy","Freq_days_maxTemp_34","Acc_precipitation","Freq_days_minTemp_8","Avg_relative_humidiy","SD_relative_humidiy","Yield"
"D2","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,0,138,0,0,44,20,1.019558155,32.35618467,91.24216594,15.38866667,10.70666667,73689.92,0,658.7,0,81.5868,5.892234831,1.1
"D2","CRIOLLO","S0","LabConvTra",1,0,0,0,1,0,0,1,1,69,0,0,44,20,1.019558155,32.35618467,91.24216594,15.28258427,11.23202247,87581.06,0,763.4,0,81.02842697,6.56199465,1
"D2","CRIOLLO","S1","LabConvTra",1,0,0,1,1,0,0,0,1,78,23,0,44,20,1.019558155,32.35618467,91.24216594,14.97699115,11.5539823,111910.52,0,801.8,0,79.96075221,7.198136108,1.4
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,0,72.5,72.5,72.5,22,22,1.167548805,22.4036886,94.37760732,17.27376238,13.27029703,70761.79827,0.02970297,411.4,0,78.06455446,7.151582092,3
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,1,0,0,2,1,78,23,0,24,29,3.444427351,25.2968481,94.67027638,17.31459459,13.24972973,65624.43827,0.032432432,389,0,78.3587027,6.784059997,3.8
"D4","OTRAS","S0","LabConvTra",0,0,0,1,1,0,0,1,0,36,92,0,22,22,1.167548805,22.4036886,94.37760732,17.32903226,13.23333333,65871.14827,0.032258065,398.6,0,78.39548387,6.784270443,3
"D4","OTRAS","S1","LabConvTra",0,0,1,0,2,0,0,2,1,124,23,30,24,29,3.444427351,25.2968481,94.67027638,18.52097884,8.843800698,54326.56657,0,1749,0,87.91613006,6.855666553,4.5
"D4","OTRAS","S0","AgrCons",0,1,1,1,2,1,0,1,1,156.075,46,30,30,23,1.060127903,21.11588415,74.6068042,18.41218644,11.13610326,89194.70999,0.022624434,258.67,0.009049774,78.43644782,5.513768065,5
"D4","OTRAS","S1","AgrCons",0,1,1,0,2,0,0,2,1,188,69,0,27,24,1.67,21.16875,63.22875,19.91894946,9.512823452,59544.74751,0.048192771,5993.6,0,85.2286689,4.684371967,4
"D4","DEKAL","S0","LabCeroMin",0,0,0,1,2,2,0,2,2,217.08,23.765,0.585,24,29,3.444427351,25.2968481,94.67027638,17.17090909,13.28727273,58057.98827,0.036363636,324.6,0,78.43781818,6.931287414,4.2
"D4","DEKAL","S1","LabConvTra",0,1,1,0,2,0,0,2,2,165,69,0,18,30,0.796704498,16.17555298,82.78892056,20.79481366,10.90721412,56517.59178,0.066666667,9144.4,0.006060606,73.2433865,11.51525451,3.9
"D4","DEKAL","S1","AgrCons",0,1,1,0,3,0,0,2,2,188,69,0,18,30,0.796704498,16.17555298,82.78892056,20.68643229,11.10490616,62532.25725,0.067039106,9183.8,0.005586592,73.72339782,10.94410793,4
"D4","DEKAL","S1","AgrCons",0,1,1,0,3,0,0,2,2,165,69,0,18,30,0.796704498,16.17555298,82.78892056,20.69701467,11.12880485,64692.93608,0.076086957,9184.4,0.005434783,73.66773299,10.9689879,6
"D4","DEKAL","S0","AgrCons",0,0,0,1,1,0,2,2,2,62.6,55.2,0,29,22,2.958520648,27.59935301,84.78686529,18.92550228,9.433317523,39849.44038,0,1299.6,0,82.7918086,3.87939775,4.45
"D4","DEKAL","S0","LabConvTra",0,0,0,1,2,0,0,1,1,3.46,0.46,0.6,22,23,1.0569118,13.67510446,34.51770002,18.81220126,11.94333333,70096.46,0.006289308,2.6,0,85.40484277,4.065059804,6.5
